skills,certifications,experience_years,education_level,projects_completed,github_commits_per_year,soft_skills,expected_salary_lpa,job_role
"Python, LangChain, MLOps, Hugging Face",Deep Learning Specialization,5.3,Master's,13,174,"Leadership, Teamwork, Critical Thinking",10.8,AI Engineer
"TypeScript, JavaScript, React, Angular",React Developer Certification,7.9,Bachelor's,21,168,"Communication, Adaptability, Teamwork, Attention to Detail",7.0,Web Developer
"Python, Excel, Google Analytics, SPSS, Statistics",IBM Data Analyst,5.9,Diploma,12,207,"Teamwork, Leadership, Problem Solving",10.9,Data Analyst
"SPSS, Statistics, Pandas, Google Analytics, PyTorch",Microsoft Power BI,3.9,Master's,9,186,"Collaboration, Communication, Time Management",5.5,Data Analyst
"TensorFlow, Python, Machine Learning, Deep Learning",Microsoft Azure AI,4.6,Bachelor's,13,291,"Problem Solving, Communication, Creativity, Leadership",15.5,AI Engineer
"Keras, TensorFlow, PyTorch, Scikit-learn, Python, OpenCV, NLP",AWS Machine Learning,6.3,Bachelor's,13,158,"Problem Solving, Time Management, Attention to Detail",21.0,AI Engineer
"R, Tableau, SQL, HTML",Tableau Desktop Specialist,1.5,Master's,17,272,"Creativity, Adaptability, Critical Thinking, Teamwork",4.7,Data Analyst
"Keras, Python, LangChain, Hugging Face, TensorFlow",Deep Learning Specialization,11.1,PhD,11,165,"Teamwork, Time Management",9.7,AI Engineer
"Python, Pandas, Tableau, Data Visualization, Excel",Google Data Analytics,3.5,Bachelor's,9,150,"Adaptability, Attention to Detail",10.2,Data Analyst
"Scikit-learn, Hugging Face, Python, LangChain, PyTorch",AWS Machine Learning,5.0,Master's,5,164,"Adaptability, Critical Thinking",19.8,AI Engineer
"Python, Power BI, Excel, Data Visualization, Google Analytics",Google Data Analytics,4.1,PhD,9,211,"Creativity, Communication",3.4,Data Analyst
"Python, SQL, Data Visualization, Power BI, Pandas, Google Analytics",None,3.0,PhD,13,77,"Teamwork, Attention to Detail",14.8,Data Analyst
"Angular, Vue.js, TypeScript, PHP",AWS Cloud Practitioner,8.2,Bachelor's,18,162,"Leadership, Critical Thinking, Teamwork, Adaptability",5.2,Web Developer
"Python, MLOps, TensorFlow",Google TensorFlow Developer,8.8,Bachelor's,10,246,"Teamwork, Creativity, Critical Thinking",8.2,AI Engineer
"HTML, MySQL, Angular, CSS, REST APIs, TypeScript",Node.js Certification,3.2,Master's,12,393,"Leadership, Attention to Detail, Collaboration, Time Management",10.6,Web Developer
"Data Visualization, Google Analytics, NumPy, SQL, Pandas",IBM Data Analyst,7.6,Master's,4,145,"Collaboration, Teamwork",6.9,Data Analyst
"Excel, Google Analytics, Data Visualization, SQL",AWS Data Analytics,5.4,Bachelor's,16,137,"Creativity, Collaboration, Critical Thinking",11.1,Data Analyst
"OpenCV, MLOps, Deep Learning, Keras",AWS Machine Learning,3.5,Bachelor's,8,246,"Communication, Collaboration, Adaptability, Creativity",10.7,AI Engineer
"React, HTML, Node.js, JavaScript, CSS",React Developer Certification,6.5,Master's,9,331,"Adaptability, Teamwork, Time Management",5.2,Web Developer
"Statistics, SPSS, Python, SQL",Microsoft Power BI,5.4,Master's,6,208,"Leadership, Problem Solving",10.9,Data Analyst
"SQL, Power BI, Pandas",AWS Data Analytics,4.9,Bachelor's,6,200,"Adaptability, Problem Solving",10.1,Data Analyst
"Statistics, Tableau, Power BI, SQL, HTML",IBM Data Analyst,7.1,Bachelor's,11,169,"Time Management, Collaboration",12.0,Data Analyst
"Statistics, Pandas, Tableau, SQL, Data Visualization",Microsoft Power BI,4.7,Master's,10,102,"Collaboration, Time Management, Communication, Leadership",7.2,Data Analyst
"Statistics, Google Analytics, Tableau, Power BI",None,4.5,Diploma,9,132,"Problem Solving, Adaptability, Creativity, Communication",9.8,Data Analyst
"NumPy, Power BI, R, Google Analytics, SPSS",SAS Certified Analyst,2.3,Bachelor's,11,55,"Creativity, Critical Thinking, Leadership",9.8,Data Analyst
"MLOps, NLP, PyTorch",Google TensorFlow Developer,5.8,Master's,3,330,"Adaptability, Time Management",18.3,AI Engineer
"Angular, React, Node.js, Docker",AWS Cloud Practitioner,5.5,Diploma,15,47,"Critical Thinking, Time Management, Problem Solving",6.4,Web Developer
"Python, Pandas, SQL, Excel, R, Tableau",None,2.7,Bachelor's,10,213,"Attention to Detail, Communication, Creativity, Problem Solving",12.0,Data Analyst
"NumPy, Statistics, Data Visualization",Google Data Analytics,4.9,Master's,7,236,"Communication, Leadership, Creativity, Teamwork",6.7,Data Analyst
"Pandas, Data Visualization, Google Analytics, Excel",None,2.6,PhD,24,150,"Critical Thinking, Leadership",5.5,Data Analyst
"Keras, Scikit-learn, TensorFlow, Python",Google TensorFlow Developer,3.2,PhD,8,150,"Time Management, Critical Thinking",11.9,AI Engineer
"Python, R, SPSS, Excel",None,2.9,Bachelor's,15,88,"Teamwork, Communication, Adaptability, Critical Thinking",10.8,Data Analyst
"REST APIs, Vue.js, TypeScript, CSS, Docker",AWS Cloud Practitioner,6.8,Diploma,25,203,"Attention to Detail, Collaboration",8.7,Web Developer
"LangChain, TensorFlow, PyTorch",AWS Machine Learning,4.0,Master's,9,308,"Adaptability, Time Management",13.7,AI Engineer
"Power BI, R, NumPy, Statistics, OpenCV",Google Data Analytics,1.8,Master's,13,230,"Creativity, Collaboration",9.6,Data Analyst
"NumPy, Pandas, Statistics, SPSS, Power BI, SQL",IBM Data Analyst,4.4,Bachelor's,6,226,"Time Management, Adaptability, Critical Thinking",8.9,Data Analyst
"Docker, Angular, MongoDB, Vue.js, REST APIs, Excel",Google UX Design,3.9,Master's,26,355,"Teamwork, Creativity, Adaptability",11.3,Web Developer
"Python, Machine Learning, Hugging Face, NLP",Google TensorFlow Developer,1.5,Bachelor's,9,233,"Critical Thinking, Attention to Detail",16.1,AI Engineer
"Docker, CSS, HTML, MongoDB, TypeScript, MySQL",MongoDB Developer,7.1,Master's,24,281,"Critical Thinking, Teamwork",13.8,Web Developer
"Google Analytics, SQL, NumPy",SAS Certified Analyst,9.2,Master's,7,153,"Critical Thinking, Communication, Teamwork",9.6,Data Analyst
"Node.js, TypeScript, CSS, Angular",Meta Frontend Developer,6.9,Diploma,18,298,"Creativity, Collaboration, Problem Solving",4.1,Web Developer
"Vue.js, PHP, TypeScript",React Developer Certification,7.1,Master's,20,310,"Problem Solving, Time Management, Critical Thinking, Collaboration",2.5,Web Developer
"PyTorch, Keras, Python, Hugging Face",NVIDIA Deep Learning,4.9,PhD,10,289,"Collaboration, Teamwork",21.0,AI Engineer
"Docker, React, PHP",Meta Frontend Developer,2.3,Bachelor's,10,116,"Adaptability, Leadership",13.1,Web Developer
"LangChain, Hugging Face, Python, Keras, MLOps, Machine Learning",Deep Learning Specialization,4.3,PhD,1,181,"Collaboration, Attention to Detail, Problem Solving, Communication",14.3,AI Engineer
"CSS, React, MySQL, JavaScript, TypeScript",Google UX Design,5.5,Diploma,29,371,"Attention to Detail, Communication, Collaboration, Leadership",10.6,Web Developer
"CSS, Angular, Docker, MongoDB, HTML, Statistics",Google UX Design,5.6,Master's,26,278,"Adaptability, Attention to Detail",8.7,Web Developer
"Docker, JavaScript, React, TypeScript, MySQL, Node.js, Python",React Developer Certification,4.7,Master's,25,191,"Adaptability, Communication",3.4,Web Developer
"Machine Learning, NLP, Scikit-learn",AWS Machine Learning,3.4,Master's,14,274,"Adaptability, Creativity",20.8,AI Engineer
"Tableau, Excel, SQL, Python, Statistics",Google Data Analytics,3.8,Bachelor's,7,155,"Creativity, Leadership, Teamwork, Adaptability",12.4,Data Analyst
"React, Node.js, HTML, PHP, Angular, Docker",AWS Cloud Practitioner,2.8,Master's,23,438,"Adaptability, Creativity, Collaboration, Leadership",5.8,Web Developer
"JavaScript, React, PHP, Angular, TypeScript, SQL",None,2.2,Master's,14,335,"Creativity, Teamwork, Adaptability, Problem Solving",8.7,Web Developer
"Tableau, NumPy, Power BI, Python",None,4.1,Master's,14,231,"Adaptability, Time Management",13.0,Data Analyst
"MySQL, JavaScript, MongoDB, React, Node.js",Node.js Certification,7.5,Master's,16,258,"Creativity, Problem Solving, Leadership, Adaptability",10.0,Web Developer
"TypeScript, MongoDB, REST APIs, CSS, Angular",Google UX Design,8.4,Bachelor's,28,302,"Time Management, Teamwork",10.2,Web Developer
"Power BI, SQL, Excel, Google Analytics",Google Data Analytics,6.8,Master's,12,239,"Time Management, Leadership, Attention to Detail, Critical Thinking",9.2,Data Analyst
"Scikit-learn, Machine Learning, Deep Learning, Keras, TensorFlow, OpenCV",NVIDIA Deep Learning,6.6,PhD,15,347,"Collaboration, Communication",13.8,AI Engineer
"REST APIs, Angular, MongoDB, HTML",Node.js Certification,4.0,Diploma,18,197,"Leadership, Time Management, Attention to Detail",12.3,Web Developer
"Google Analytics, Excel, SQL",None,4.4,Master's,9,83,"Critical Thinking, Problem Solving",3.4,Data Analyst
"PHP, CSS, Angular",None,2.0,Bachelor's,15,218,"Critical Thinking, Attention to Detail, Problem Solving",12.5,Web Developer
"SQL, Excel, Python, NumPy, Data Visualization",Google Data Analytics,6.4,Master's,10,142,"Attention to Detail, Communication, Adaptability",12.0,Data Analyst
"MongoDB, React, CSS",Google UX Design,8.8,Bachelor's,11,386,"Teamwork, Adaptability",5.5,Web Developer
"SPSS, SQL, R",Google Data Analytics,6.5,PhD,15,86,"Teamwork, Creativity, Communication, Collaboration",9.5,Data Analyst
"Python, Machine Learning, MLOps, Hugging Face",None,4.3,Master's,12,146,"Teamwork, Creativity",15.0,AI Engineer
"Python, NumPy, R, Data Visualization, Excel",IBM Data Analyst,2.9,Bachelor's,4,212,"Collaboration, Teamwork, Adaptability",12.7,Data Analyst
"Excel, SQL, Statistics, Data Visualization, SPSS, Power BI",None,8.4,Bachelor's,15,175,"Teamwork, Creativity, Attention to Detail",7.9,Data Analyst
"Statistics, Pandas, R, Data Visualization, OpenCV",IBM Data Analyst,1.8,Bachelor's,5,235,"Teamwork, Attention to Detail",11.9,Data Analyst
"JavaScript, Angular, PHP, MongoDB, MySQL",None,6.3,Bachelor's,6,157,"Teamwork, Leadership",7.5,Web Developer
"MLOps, TensorFlow, Hugging Face, NLP, Machine Learning, PyTorch, LangChain",Google TensorFlow Developer,10.2,PhD,15,171,"Collaboration, Leadership, Attention to Detail, Time Management",20.2,AI Engineer
"TypeScript, MongoDB, Vue.js, Angular, HTML, Docker",None,5.0,Bachelor's,23,244,"Collaboration, Leadership, Time Management",12.7,Web Developer
"Deep Learning, MLOps, Scikit-learn",Google TensorFlow Developer,3.4,Bachelor's,9,262,"Adaptability, Collaboration",15.7,AI Engineer
"HTML, CSS, TypeScript, React, Docker, MySQL",React Developer Certification,5.5,Diploma,19,335,"Time Management, Critical Thinking, Problem Solving, Communication",9.7,Web Developer
"SQL, Tableau, SPSS, Power BI",Tableau Desktop Specialist,6.0,Bachelor's,12,181,"Attention to Detail, Time Management",12.3,Data Analyst
"JavaScript, Angular, MySQL, TypeScript, CSS, Docker",AWS Cloud Practitioner,5.4,Master's,16,212,"Teamwork, Adaptability, Time Management",6.0,Web Developer
"Python, Hugging Face, OpenCV, MLOps, LangChain, Machine Learning",None,4.6,Master's,4,248,"Attention to Detail, Critical Thinking, Time Management",16.2,AI Engineer
"Deep Learning, MLOps, Scikit-learn, NLP, TensorFlow",NVIDIA Deep Learning,8.1,Master's,10,206,"Creativity, Critical Thinking, Leadership, Communication",15.6,AI Engineer
"REST APIs, HTML, CSS, MySQL",Google UX Design,7.6,Diploma,14,350,"Critical Thinking, Collaboration, Problem Solving, Time Management",10.8,Web Developer
"TypeScript, React, Node.js, PHP, CSS, Docker, Vue.js",None,7.9,Diploma,28,331,"Problem Solving, Collaboration",8.3,Web Developer
"Vue.js, React, MongoDB, PHP",MongoDB Developer,7.5,Master's,22,197,"Problem Solving, Communication, Time Management",6.8,Web Developer
"NLP, PyTorch, OpenCV, Scikit-learn",AWS Machine Learning,7.1,PhD,8,219,"Time Management, Attention to Detail, Creativity, Communication",8.8,AI Engineer
"MLOps, LangChain, TensorFlow, Scikit-learn",Google TensorFlow Developer,8.9,Master's,9,195,"Attention to Detail, Communication, Leadership",15.1,AI Engineer
"SQL, Google Analytics, Excel, Power BI, Statistics, Tableau",IBM Data Analyst,2.6,Diploma,7,206,"Creativity, Problem Solving, Adaptability, Time Management",7.9,Data Analyst
"OpenCV, Keras, Deep Learning, PyTorch, TensorFlow",IBM AI Engineering,2.8,PhD,11,170,"Teamwork, Time Management, Critical Thinking",11.9,AI Engineer
"SPSS, NumPy, Python",Microsoft Power BI,4.1,Master's,16,148,"Adaptability, Critical Thinking",11.1,Data Analyst
"Google Analytics, Python, Power BI, REST APIs",Google Data Analytics,5.1,Bachelor's,9,182,"Communication, Time Management, Creativity, Problem Solving",9.8,Data Analyst
"MongoDB, Vue.js, CSS, MySQL, Angular, React",Node.js Certification,5.1,Diploma,33,223,"Problem Solving, Attention to Detail, Time Management",16.5,Web Developer
"JavaScript, MySQL, CSS",Google UX Design,4.5,Master's,16,408,"Critical Thinking, Collaboration, Attention to Detail, Teamwork",13.4,Web Developer
"R, Google Analytics, NumPy, Data Visualization, Statistics, SQL",Tableau Desktop Specialist,3.8,Bachelor's,16,251,"Leadership, Teamwork, Creativity, Critical Thinking",9.9,Data Analyst
"Python, TensorFlow, PyTorch, HTML",Google TensorFlow Developer,5.6,Master's,11,247,"Collaboration, Time Management, Critical Thinking, Teamwork",10.7,AI Engineer
"TensorFlow, MLOps, Keras",None,5.6,Master's,12,228,"Leadership, Communication, Adaptability, Critical Thinking",12.2,AI Engineer
"JavaScript, Vue.js, HTML, Angular",Node.js Certification,9.6,Master's,23,365,"Communication, Leadership, Critical Thinking",11.7,Web Developer
"PyTorch, LangChain, MLOps, Keras, Hugging Face, OpenCV",IBM AI Engineering,4.1,Bachelor's,6,216,"Attention to Detail, Time Management, Problem Solving",14.8,AI Engineer
"Excel, Pandas, Python, NumPy, SPSS",None,6.5,Bachelor's,14,187,"Adaptability, Creativity, Attention to Detail",6.7,Data Analyst
"Power BI, Excel, Google Analytics, Tableau, SPSS, SQL",Google Data Analytics,4.9,Master's,23,144,"Communication, Creativity, Time Management, Teamwork",9.1,Data Analyst
"Hugging Face, Scikit-learn, PyTorch, Python, Machine Learning",IBM AI Engineering,11.3,Master's,7,124,"Adaptability, Leadership, Creativity",23.3,AI Engineer
"Data Visualization, Statistics, Excel, SQL",None,11.1,Master's,4,199,"Adaptability, Creativity, Critical Thinking, Teamwork",12.3,Data Analyst
"HTML, PHP, Angular, MySQL, Docker, REST APIs, NLP",Meta Frontend Developer,8.5,Bachelor's,11,315,"Attention to Detail, Critical Thinking, Leadership",11.1,Web Developer
"NLP, TensorFlow, Scikit-learn, Python",IBM AI Engineering,3.9,Master's,11,160,"Leadership, Creativity",13.4,AI Engineer
"Vue.js, Angular, React, Node.js, Docker, REST APIs",Google UX Design,6.9,PhD,12,197,"Critical Thinking, Communication",8.8,Web Developer
"Power BI, Tableau, SPSS, SQL, Python, NumPy",SAS Certified Analyst,1.0,Diploma,11,221,"Creativity, Problem Solving",8.3,Data Analyst
"Scikit-learn, PyTorch, LangChain",IBM AI Engineering,3.8,Bachelor's,13,214,"Attention to Detail, Time Management, Collaboration",18.3,AI Engineer
"Statistics, Tableau, Pandas, SPSS, R, Data Visualization",AWS Data Analytics,5.3,Bachelor's,6,152,"Adaptability, Collaboration, Creativity",8.9,Data Analyst
"CSS, React, HTML, Angular, TypeScript",None,2.0,Bachelor's,2,305,"Collaboration, Critical Thinking, Teamwork",15.9,Web Developer
"Hugging Face, Deep Learning, LangChain, OpenCV",Microsoft Azure AI,5.8,PhD,4,284,"Communication, Problem Solving, Collaboration",9.1,AI Engineer
"Angular, JavaScript, Node.js, PHP, CSS, React",Meta Frontend Developer,5.2,Diploma,4,281,"Attention to Detail, Adaptability, Creativity, Leadership",6.1,Web Developer
"MLOps, Deep Learning, TensorFlow, Keras, Hugging Face",Microsoft Azure AI,3.1,Bachelor's,9,318,"Time Management, Collaboration, Teamwork",15.6,AI Engineer
"Node.js, Docker, Vue.js, CSS, PHP, HTML",Google UX Design,2.3,Master's,31,217,"Attention to Detail, Creativity, Leadership, Time Management",15.0,Web Developer
"Statistics, R, SPSS",Google Data Analytics,7.8,Master's,8,147,"Teamwork, Adaptability, Creativity, Problem Solving",12.4,Data Analyst
"Python, Deep Learning, Keras",None,9.6,PhD,11,319,"Leadership, Creativity",15.6,AI Engineer
"PyTorch, Deep Learning, MLOps, Python",Deep Learning Specialization,4.0,Master's,1,220,"Problem Solving, Attention to Detail",9.5,AI Engineer
"R, Excel, Google Analytics, Statistics, Tableau",SAS Certified Analyst,5.7,Bachelor's,13,99,"Problem Solving, Communication, Time Management, Teamwork",9.3,Data Analyst
"Statistics, SQL, Python",Microsoft Power BI,7.8,Master's,11,109,"Problem Solving, Attention to Detail, Time Management, Critical Thinking",6.0,Data Analyst
"Keras, NLP, Scikit-learn, OpenCV, Python",NVIDIA Deep Learning,1.3,PhD,5,239,"Creativity, Adaptability, Critical Thinking, Attention to Detail",9.6,AI Engineer
"MLOps, Hugging Face, TensorFlow, Keras",AWS Machine Learning,6.1,Diploma,7,425,"Teamwork, Attention to Detail, Critical Thinking, Problem Solving",13.9,AI Engineer
"NLP, Keras, Machine Learning",Google TensorFlow Developer,4.8,PhD,16,304,"Problem Solving, Leadership, Communication",19.6,AI Engineer
"Python, Tableau, Excel, NumPy, Data Visualization",Tableau Desktop Specialist,6.9,Bachelor's,9,157,"Attention to Detail, Time Management, Adaptability",6.8,Data Analyst
"SQL, Excel, Power BI, Python, Tableau, Statistics",Microsoft Power BI,3.1,Master's,13,178,"Communication, Adaptability, Creativity, Attention to Detail",6.6,Data Analyst
"Python, Hugging Face, OpenCV",IBM AI Engineering,1.6,PhD,10,221,"Adaptability, Attention to Detail",9.0,AI Engineer
"LangChain, Python, Deep Learning, OpenCV, Hugging Face, TensorFlow, MongoDB",IBM AI Engineering,4.1,Master's,3,236,"Adaptability, Collaboration, Problem Solving, Critical Thinking",13.7,AI Engineer
"Tableau, Pandas, Google Analytics, Data Visualization, SQL, Excel",None,9.6,Bachelor's,4,139,"Communication, Problem Solving, Creativity",3.5,Data Analyst
"SQL, Excel, Google Analytics, NumPy, Tableau",SAS Certified Analyst,10.5,Master's,6,261,"Critical Thinking, Adaptability, Teamwork, Leadership",14.4,Data Analyst
"Deep Learning, NLP, Scikit-learn, OpenCV",Microsoft Azure AI,5.7,Master's,5,86,"Collaboration, Teamwork, Attention to Detail, Critical Thinking",11.1,AI Engineer
"OpenCV, Hugging Face, Deep Learning",None,4.5,Master's,7,235,"Teamwork, Attention to Detail, Problem Solving, Time Management",18.2,AI Engineer
"MongoDB, TypeScript, JavaScript, Node.js, PHP, Vue.js",Node.js Certification,1.9,Bachelor's,26,538,"Attention to Detail, Time Management, Adaptability, Teamwork",10.6,Web Developer
"PHP, Node.js, CSS",None,10.8,Diploma,24,331,"Time Management, Creativity, Problem Solving, Adaptability",16.8,Web Developer
"Power BI, Tableau, Data Visualization, JavaScript",Google Data Analytics,9.2,Bachelor's,11,215,"Critical Thinking, Problem Solving, Communication",15.2,Data Analyst
"Keras, MLOps, PyTorch, Python, Scikit-learn",Google TensorFlow Developer,6.3,Master's,7,122,"Critical Thinking, Leadership",18.9,AI Engineer
"OpenCV, Machine Learning, Deep Learning, Keras, NLP, TensorFlow, Python",NVIDIA Deep Learning,6.6,Bachelor's,18,210,"Teamwork, Critical Thinking",20.2,AI Engineer
"LangChain, Scikit-learn, MLOps, OpenCV, R",NVIDIA Deep Learning,4.4,Master's,10,138,"Creativity, Attention to Detail, Communication",17.2,AI Engineer
"Pandas, Excel, SQL, R",Tableau Desktop Specialist,5.6,Master's,16,197,"Problem Solving, Teamwork",8.4,Data Analyst
"Docker, Angular, Vue.js, HTML",None,4.7,Diploma,12,295,"Adaptability, Communication",10.0,Web Developer
"SQL, NumPy, Pandas",AWS Data Analytics,5.4,Diploma,11,181,"Teamwork, Critical Thinking, Adaptability, Collaboration",7.0,Data Analyst
"TensorFlow, Hugging Face, LangChain, Keras, Scikit-learn",IBM AI Engineering,5.0,Bachelor's,9,263,"Adaptability, Leadership, Teamwork",13.2,AI Engineer
"Power BI, Excel, SPSS, R, Statistics, Pandas, REST APIs",AWS Data Analytics,5.8,Master's,18,129,"Adaptability, Collaboration, Creativity, Critical Thinking",8.7,Data Analyst
"Excel, Statistics, Tableau, R, Power BI",IBM Data Analyst,8.8,Bachelor's,6,124,"Critical Thinking, Communication, Time Management, Problem Solving",5.3,Data Analyst
"Deep Learning, TensorFlow, PyTorch, Keras, OpenCV, Python",Deep Learning Specialization,5.0,PhD,10,82,"Creativity, Communication",13.8,AI Engineer
"Data Visualization, Google Analytics, Tableau, Excel, SPSS, R",None,6.7,Bachelor's,16,38,"Communication, Collaboration, Critical Thinking",11.1,Data Analyst
"Power BI, R, Python, Pandas",Tableau Desktop Specialist,4.4,Bachelor's,12,237,"Collaboration, Adaptability",15.2,Data Analyst
"Tableau, Excel, R",AWS Data Analytics,5.3,Bachelor's,20,217,"Critical Thinking, Teamwork, Adaptability, Time Management",17.0,Data Analyst
"Python, NLP, TensorFlow, Pandas",NVIDIA Deep Learning,1.8,Master's,10,141,"Attention to Detail, Creativity, Communication, Time Management",17.4,AI Engineer
"Python, LangChain, Hugging Face, Machine Learning, TensorFlow, CSS",AWS Machine Learning,7.1,Bachelor's,13,259,"Critical Thinking, Collaboration",12.2,AI Engineer
"Vue.js, MongoDB, CSS, JavaScript, REST APIs",Meta Frontend Developer,4.3,Master's,4,277,"Collaboration, Leadership, Communication",5.7,Web Developer
"Python, PyTorch, Machine Learning",AWS Machine Learning,5.8,Bachelor's,6,104,"Attention to Detail, Communication, Time Management, Problem Solving",10.3,AI Engineer
"HTML, MySQL, Vue.js",AWS Cloud Practitioner,8.4,Master's,14,251,"Creativity, Critical Thinking",5.9,Web Developer
"Deep Learning, MLOps, Hugging Face",None,5.4,Diploma,5,210,"Critical Thinking, Communication, Teamwork",15.1,AI Engineer
"SPSS, Statistics, Data Visualization",Google Data Analytics,7.3,Master's,13,197,"Time Management, Problem Solving, Critical Thinking",6.8,Data Analyst
"Angular, React, MySQL, PHP, Vue.js",React Developer Certification,5.4,Diploma,18,205,"Time Management, Teamwork",8.9,Web Developer
"Vue.js, MongoDB, CSS, TypeScript, Node.js",None,3.4,Master's,12,390,"Critical Thinking, Communication, Teamwork, Collaboration",16.4,Web Developer
"Data Visualization, NumPy, Tableau, Python",Microsoft Power BI,4.0,Master's,10,193,"Creativity, Teamwork",8.1,Data Analyst
"React, JavaScript, CSS, MySQL",AWS Cloud Practitioner,1.9,Bachelor's,12,295,"Communication, Adaptability, Attention to Detail",11.5,Web Developer
"CSS, Node.js, React",Meta Frontend Developer,2.3,Bachelor's,17,258,"Teamwork, Attention to Detail, Problem Solving, Creativity",6.3,Web Developer
"Node.js, JavaScript, TypeScript",MongoDB Developer,2.2,Diploma,26,297,"Problem Solving, Creativity, Leadership",9.9,Web Developer
"Node.js, JavaScript, MongoDB, React, Vue.js, TypeScript",AWS Cloud Practitioner,2.7,Bachelor's,19,295,"Time Management, Teamwork, Collaboration",8.7,Web Developer
"R, Excel, Statistics, Tableau, Data Visualization",None,9.0,Bachelor's,14,192,"Collaboration, Leadership, Teamwork",9.4,Data Analyst
"MongoDB, Node.js, TypeScript, MySQL, Angular",Google UX Design,1.6,Master's,7,218,"Communication, Creativity",8.4,Web Developer
"HTML, Node.js, Angular, MongoDB, REST APIs, React",None,1.9,Bachelor's,18,227,"Attention to Detail, Teamwork, Leadership",5.4,Web Developer
"React, CSS, JavaScript, REST APIs, TypeScript",Google UX Design,4.3,Bachelor's,22,331,"Creativity, Adaptability, Critical Thinking, Attention to Detail",6.9,Web Developer
"Pandas, Python, Excel, Statistics, SPSS, Power BI",AWS Data Analytics,6.8,Diploma,23,148,"Adaptability, Creativity",6.7,Data Analyst
"TensorFlow, Hugging Face, Deep Learning, PyTorch, Keras, LangChain",Microsoft Azure AI,2.9,Master's,15,289,"Problem Solving, Critical Thinking",15.6,AI Engineer
"Machine Learning, Deep Learning, PyTorch, MLOps, TensorFlow",Deep Learning Specialization,9.0,Bachelor's,1,164,"Problem Solving, Adaptability",8.7,AI Engineer
"Python, MLOps, Hugging Face, Machine Learning, Deep Learning, Keras",NVIDIA Deep Learning,5.5,Master's,10,271,"Attention to Detail, Communication",13.3,AI Engineer
"SPSS, SQL, NumPy, Python, R",IBM Data Analyst,4.4,Master's,10,113,"Collaboration, Adaptability, Communication",7.6,Data Analyst
"Angular, MongoDB, JavaScript, React",None,6.0,Bachelor's,22,238,"Time Management, Communication, Leadership",11.0,Web Developer
"MLOps, OpenCV, Deep Learning, Hugging Face, NLP",IBM AI Engineering,7.8,Bachelor's,15,112,"Adaptability, Time Management, Leadership",12.7,AI Engineer
"Vue.js, TypeScript, Docker, Angular",None,6.1,Bachelor's,26,262,"Leadership, Collaboration, Attention to Detail",2.5,Web Developer
"SPSS, Tableau, Google Analytics, Statistics, Excel",Microsoft Power BI,7.6,Bachelor's,15,296,"Collaboration, Teamwork",8.9,Data Analyst
"LangChain, Scikit-learn, Python, Excel",None,4.8,Bachelor's,10,195,"Teamwork, Collaboration",18.6,AI Engineer
"Vue.js, CSS, PHP",Node.js Certification,7.2,Diploma,14,283,"Communication, Time Management, Critical Thinking",11.0,Web Developer
"React, JavaScript, MySQL, Angular, HTML, Docker",None,1.8,Master's,25,297,"Creativity, Adaptability, Problem Solving, Collaboration",14.1,Web Developer
"Docker, TypeScript, MySQL, PHP, JavaScript, MongoDB",React Developer Certification,2.9,Master's,12,116,"Adaptability, Time Management",11.0,Web Developer
"Data Visualization, Excel, NumPy",IBM Data Analyst,4.2,Bachelor's,5,106,"Leadership, Critical Thinking",6.1,Data Analyst
"Angular, PHP, Vue.js, HTML, REST APIs",MongoDB Developer,8.2,Bachelor's,20,67,"Collaboration, Adaptability, Teamwork",11.1,Web Developer
"Excel, SQL, Google Analytics, SPSS, Data Visualization",Microsoft Power BI,4.0,Master's,8,130,"Critical Thinking, Creativity",12.3,Data Analyst
"Statistics, Google Analytics, SPSS, R",IBM Data Analyst,6.0,Bachelor's,11,180,"Problem Solving, Adaptability",5.9,Data Analyst
"HTML, MySQL, PHP, CSS, Node.js, REST APIs",None,4.6,Diploma,14,373,"Teamwork, Leadership, Communication, Critical Thinking",8.6,Web Developer
"NumPy, Pandas, R",Google Data Analytics,7.9,Master's,5,191,"Problem Solving, Attention to Detail",10.7,Data Analyst
"Deep Learning, Python, Keras, PyTorch",None,7.0,Master's,6,109,"Leadership, Time Management",16.4,AI Engineer
"TypeScript, Docker, MySQL",Meta Frontend Developer,3.0,Bachelor's,23,320,"Creativity, Adaptability",15.4,Web Developer
"MLOps, Deep Learning, Machine Learning, PyTorch, Python, Keras",Google TensorFlow Developer,1.6,Diploma,10,235,"Leadership, Adaptability",7.0,AI Engineer
"LangChain, Python, Scikit-learn, NLP, Deep Learning, OpenCV",NVIDIA Deep Learning,3.8,Master's,11,262,"Time Management, Critical Thinking, Collaboration, Attention to Detail",10.2,AI Engineer
"NumPy, SPSS, Power BI, Tableau, Excel, Statistics, OpenCV",AWS Data Analytics,2.4,Master's,13,102,"Communication, Attention to Detail, Adaptability",13.6,Data Analyst
"TypeScript, Docker, JavaScript, Google Analytics",None,3.0,Master's,16,135,"Time Management, Creativity, Problem Solving",14.1,Web Developer
"React, Docker, HTML, REST APIs, Node.js, PHP, Angular",React Developer Certification,7.7,Bachelor's,14,275,"Critical Thinking, Leadership, Attention to Detail",7.2,Web Developer
"MySQL, Angular, HTML, PHP, Node.js",None,2.0,PhD,15,262,"Leadership, Adaptability",10.0,Web Developer
